# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
GJ 876 d,Confirmed,0.021741,,1.938,2005,2021-04-01,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 e,Confirmed,0.04855,,124.4,2010,2021-04-01,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 f,Retracted,0.025,,10.01,2014,2021-10-05,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 876 g,Retracted,0.118,,15.04,2014,2021-10-05,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350,,
GJ 887 b,Confirmed,,,9.252,2020,2020-06-26,7.34,,,,,3.2871,-0.06,0.489,0.4712,M1V,,3688,,
GJ 887 c,Confirmed,,,21.789,2020,2020-06-27,7.34,,,,,3.2871,-0.06,0.489,0.4712,M1V,,3688,,
GJ 896A b,Confirmed,2.26,,284.39,2022,2022-11-13,10.2,,,,,6.2565,,0.43589,,M4,,,,
GJ 9066 b,Controversial,,,241.883,2020,2022-11-13,11,,,,,4.4716,-0.13,0.15,0.164,M4.5,,3154,,
GJ 9066 c,Confirmed,,,772.05,2020,2022-04-04,11,,,,,4.4716,-0.13,0.15,0.164,M4.5,,3154,,
GJ 911 b,Candidate,,,2.7888,2019,2020-01-13,10.8,,,,,23.43,,0.63,,MOV,,,,
GJ 912 b,Candidate,,,5188,2021,2021-06-01,,,,,,,,,,,,,,
GJ 9404 b,Candidate,,,13.46,2022,2022-03-10,,,,,,23.866,-0.13,0.62,,M0.5V,,1432,,
GJ 96 b,Confirmed,,,73.94,2018,2018-07-17,9.345,,,,,,0.14,0.6,,M0V,,3785,,
GJ 9689 b,Confirmed,,,18.27,2021,2021-05-14,11.3,,,,,30.686,0.05,0.59,0.57,M0.5V,8.9,3836,,
GJ 9827 b,Confirmed,0.01532,0.13641,1.2089765,2017,2020-09-09,10.4,,,,,30.3,-0.28,0.659,0.651,K6V,,4255,,
