# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
1SWASPJ115718.66+261906.1 b,Candidate,,1.55,1.226804,2007,2021-09-01,11.12,,10.22,10.1,10.06,,,,1.32,,,,,
1SWASPJ130322.00+350525.4 b,Candidate,,1.06,2.674207,2007,2021-09-01,10.89,,9.5,9.22,9.12,,,,1.12,,,,,
1SWASPJ152131.01+213521.3 b,Candidate,,1.62,1.338018,2007,2021-09-01,12.19,,11.53,11.29,10.83,,,,1.19,,,,,
1SWASPJ160242.43+290850.1 b,Candidate,,1.53,1.304693,2007,2021-09-01,12.42,,11.32,10.94,10.43,,,,0.91,,,,,
1SWASPJ161732.90+242119.0 b,Candidate,,0.76,1.453738,2007,2021-09-01,11.96,,9.85,9.47,9.35,,,,0.77,,,,,
1SWASPJ182438.34 + 302546.0,Controversial,,1.8,818000,2022,2022-06-22,,,,,,389,,1.73,1.75,,,7800,,
21 Her (AB) b,Candidate,,,57.67,2002,2018-12-12,5.82,,5.76,5.77,5.75,113.45,,4.4,,A+M,,9500,,
24 Boo b,Confirmed,,,30.3506,2018,2021-10-02,5.6,,,,,100,-0.77,0.99,10.64,G3IV,6.92,4893,,
24 Sex b,Confirmed,,,452.8,2010,2021-10-02,7.38,,,,,72.2084,-0.03,1.54,4.9,G5,2.7,5098,,
24 Sex c,Confirmed,,,883,2010,2021-10-02,7.38,,,,,72.2084,-0.03,1.54,4.9,G5,2.7,5098,,
2M 0103-55 (AB) b,Confirmed,13,,,2013,2022-08-12,,,7.5,,,47.2,,0.4,,M,0.03,,,
2M 0219-39 b,Confirmed,13.9,1.44,,2015,2016-02-23,,,,,,39.4,,0.11,0.27,M6,,3064,,
2M 0441+23 b,Confirmed,7.5,,,2010,2016-02-23,,,14.2,13.72,13.16,140,,0.02,,M8.5,0.001,,,
2M 1252+2735 b,Confirmed,,,35.08,2021,2022-02-08,12,,,,,197.2,,,,G8IV,,,,
2M 1252+2735 c,Candidate,,,386,2021,2022-02-09,12,,,,,197.2,,,,G8IV,,,,
2M 1253+2734 b,Confirmed,,,24.31,2021,2022-02-08,,,,,,,,,,,,,,
2M 1258+2630 b,Confirmed,,,11.88,2021,2022-02-08,,,,,,,,,,,,,,
2M 1759-2739 b,Candidate,,1.262,2.188051,2019,2019-01-23,13.5,,,,,,,1.2856,1.6269,,,5787,,
2M 2140+16 b,Confirmed,20,0.92,7340,2010,2012-01-19,,,,,,25,,0.08,0.1,,,2300,,
2M 2206-20 b,Confirmed,30,1.3,8686,2010,2012-01-19,,,,,,26.67,,0.13,0.11,,,2350,,
2M 2236+4751 b,Confirmed,12.5,,,2016,2016-11-03,12.5,,,,,63,,0.6,,K7,0.12,,,
2M J2126-81 b,Confirmed,13.3,,,2016,2016-02-23,9,,,,,24.75,,0.4,,M2,0.027,,,
2M0045+16,Confirmed,25,,,2019,2019-06-07,,,,,,15.4,,,,,,,,
2M0117-34,Confirmed,16.4,,,2019,2019-06-07,,,,,,39.02,,,,,,,,
2M0326+29 b,Candidate,48,,2750,2014,2019-10-03,,,12.99,,,35.1,,0.061,,L3.5,,,,
2M0355,Confirmed,28,1.22,,2008,2022-09-22,,,,,,9.1203,,,,,,,,
2M0437 b,Confirmed,4,,,2021,2021-10-19,15.7,,,,,128.1,0.01,0.0165,0.84,,0.0025,3100,,
2M0444,Confirmed,50,,,2013,2022-01-03,,,,,,143.2,,,,,,,,
2M0838+15 b,Confirmed,,,,2013,2021-07-03,,,,,,49,,,,T3,,,,
2M0838+15 c,Confirmed,,,,2013,2021-07-03,,,,,,49,,,,T3,,,,
2M1059-21 b,Confirmed,66.95,,690,2020,2020-05-01,,,,,,31.81,,0.81,,L2,,,,
2M1207 A,Confirmed,60,,,2004,2018-09-16,,,,,,52.4,,,,,,,,
2M1207 b,Confirmed,5,,,2004,2018-12-04,,,,,,52.4,,,,,,,,
2M1510A a,Confirmed,40,1.57,20.902,2020,2020-03-24,,,,,,36.6,,,,,,,,
2M1510A b,Confirmed,39.3,1.57,20.902,2020,2020-03-24,,,,,,36.6,,,,,,,,
2MASS 0359+2009 b,Confirmed,20,,,2019,2021-06-24,,,,,,117.76,,0.06,,M4.75,0.0075,2900,,
2MASS J0001+1535,Confirmed,33,1.22,,2022,2022-01-23,,,,,,31.6163,,,,,,,,
2MASS J0030-1450,Confirmed,10,1.36,,2022,2022-01-23,,,,,,26.7,,,,,,,,
2MASS J0031+5749,Confirmed,24,1.2,,2022,2022-01-23,,,,,,11.6,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30,,,2009,2019-02-27,,,,,,34.7133,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15,,45990,2010,2022-10-30,,,,,,34.7133,,,,,,,,
2MASS J01225093-2439505 b,Confirmed,24.5,,,2013,2021-08-20,,,10.084,9.47,,36,,0.4,,M3.5 V,0.12,3530,,
2MASS J0153-6744,Confirmed,17,1.48,,2022,2022-01-23,,,,,,66.2,,,,,,,,
2MASS J0249-0557 (AB) c,Confirmed,11.6,,,2018,2018-07-31,,,,,,48.9,,,,,,,,
2MASS J0249-0557A,Confirmed,48,,,2018,2018-07-31,,,,,,48.9,,,,,,,,
2MASS J0249-0557B,Confirmed,44,,,2018,2018-07-31,,,,,,48.9,,,,,,,,
2MASS J0326-2102,Confirmed,18,1.32,,2022,2022-01-23,,,,,,41,,,,,,,,
2MASS J0342-6817,Confirmed,17,1.48,,2022,2022-01-23,,,,,,81,,,,,,,,
2MASS J0348-6022,Confirmed,43,0.91,,2021,2021-07-27,,,,,,9,,,,,,,,
2MASS J0407+1546,Confirmed,67,0.97,,2021,2021-03-11,,,,,,36.4421,,,,,,,,
2MASS J0447-1216,Confirmed,51,1.02,,2022,2022-01-23,,,,,,27.7,,,,,,,,
2MASS J0459-2853,Confirmed,8,1.32,,,2022-01-23,,,,,,38,,,,,,,,
2MASS J0506+5236,Confirmed,26,1.05,,2022,2022-01-23,,,,,,17.6,,,,,,,,
2MASS J0642+4101,Confirmed,12,1.23,,2022,2022-01-23,,,,,,16.1,,,,,,,,
2MASS J0718-6415,Confirmed,3,1.29,,2022,2022-01-23,,,,,,9.34,,,,,,,,
2MASS J0809+4434,Confirmed,13,1.35,,2022,2022-01-23,,,,,,25,,,,,,,,
2MASS J0951-8023,Confirmed,15,1.45,,2022,2022-01-23,,,,,,,,,,,,,,
2MASS J10475385+2124234,Confirmed,42,,,1999,2020-04-11,,,,,,10.56,,,,,,,,
2MASS J11011926-7732383 A,Confirmed,50,,,2004,2019-02-27,,,,,,168,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30,,,2004,2019-02-27,,,,,,168,,,,,,,,
2MASS J1119-1137 b,Confirmed,3.7,,32850,2017,2022-08-05,,,,,14.62,,,,,L7,0.01,,,
2MASS J1155-7919 b,Confirmed,10,,,2020,2020-02-13,14,,,,,101.15,,,,M3,0.005,,,
2MASS J1219+3128,Confirmed,49,0.97,,2021,2021-03-11,,,,,,19,,,,,,,,
2MASS J1450-7841 A,Confirmed,40,,,2017,2018-05-17,,,,,,75,,0.04,,M9p,,,,
2MASS J1450-7841 B,Confirmed,40,,,2017,2018-05-17,,,,,,75,,0.04,,M8p,,,,
2MASS J15344984-2952274 A,Confirmed,30.1,,,2008,2019-03-21,,,,,,15.9,,,,,,,,
2MASS J15344984-2952274 B,Confirmed,28.2,,5550,2008,2019-03-21,,,,,,15.9,,,,,,,,
2MASS J1551+0941,Confirmed,24,1.39,,2022,2022-01-23,,,,,,64,,,,,,,,
2MASS J155947+440359 b,Confirmed,43,,,2012,2021-07-30,11.8,,,,,44.76,,,,M2.0V,,,,
2MASS J1647+5632,Confirmed,18,1.22,,2022,2022-01-23,,,,,,20.2,,,,,,,,
2MASS J1741-4642,Confirmed,26,1.23,,2022,2022-01-23,,,,,,19.8,,,,,,,,
2MASS J18071593+5015316,Confirmed,16.02,,,2003,2022-11-22,,,,,,14.606,,,,,,,,
2MASS J2002-0521,Confirmed,13,1.36,,2022,2022-01-23,,,,,,17.6316,,,,,,,,
2MASS J2117-2940,Confirmed,7,1.38,,2022,2022-01-23,,,,,,16.9,,,,,,,,
2MASS J2154-1055,Confirmed,33,1.17,,2022,2022-01-23,,,,,,31.1,,,,,,,,
2MASS J2206+3301,Confirmed,8,1.3,,2022,2022-01-23,,,,,,34.4,,,,,,,,
2MASS J2206-4217,Confirmed,32,1.22,,2022,2022-01-23,,,,,,29.5966,,,,,,,,
2MASS J2250+2325 b,Confirmed,30,,,2017,2018-02-26,,,,,,41.5,,,,M3,0.15,,,
2MASS J2322-6151,Confirmed,18,1.5,,2022,2022-01-23,,,,,,43.0283,,,,,,,,
2MASS J2343-3646,Confirmed,34,1.22,,2022,2022-01-23,,,,,,40.5,,,,,,,,
2MASSW J2208136+292121,Confirmed,10,,,2000,2021-07-28,,,,,,50,,,,,,,,
3 Cnc b,Confirmed,,,853.64,2020,2020-10-26,5.6,,,,,243.3,0.06,2.94,39.38,K3 III,0.43,4319,,
30 Ari B b,Retracted,,,335.1,2009,2021-08-26,7.1,,,,,39.4,0.12,1.22,1.23,F6V,0.91,6484,,
38 Vir b,Confirmed,,,825.9,2016,2017-02-20,6.11,,,,,,0.07,1.18,1.45,F6 V,1.9,6557,,
4 Uma b,Confirmed,,,269.3,2007,2014-08-27,5.79,,,,,78.5,-0.25,1.234,,K1III,4.604,4415,,
42 Dra b,Controversial,,,479.1,2009,2022-03-23,4.83,,,,,97.3,-0.46,0.98,22.03,K1.5III,9.49,4200,,
44 Uma b,Confirmed,,,785.74,2020,2020-10-26,5.12,,,,,200.4,-0.21,2.19,45.12,K3 III,1.05,4215,,
47 Uma b,Confirmed,,,1078,1996,2014-08-27,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
47 Uma c,Confirmed,,,2391,2001,2014-08-27,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
47 Uma d,Confirmed,,,14002,2010,2014-08-27,5.1,,,,,13.97,0,1.03,1.24,G0V,7.4,5892,,
51 Eri b,Confirmed,2.6,1.11,10260,2015,2022-08-30,5.223,,,,,29.4,-0.027,1.75,,F0IV,0.02,,IR Excess,
51 Peg b,Confirmed,0.47,1.9,4.2308,1995,2017-01-26,5.49,,,,,14.7,0.2,1.11,1.266,G2 IV,4,5793,,
55 Cnc b,Confirmed,0.84,,14.65314,1996,2017-06-11,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,
55 Cnc c,Confirmed,,,44.373,2002,2017-06-11,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,
55 Cnc d,Confirmed,,,5574.2,2002,2022-10-13,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,
55 Cnc e,Confirmed,0.02703,0.1737,0.7365478,2004,2022-09-27,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,
55 Cnc f,Confirmed,,,260.91,2007,2017-06-11,5.95,,,,,12.34,0.31,1.015,0.98,K0IV-V,10.2,5196,,
6 Lyn b,Confirmed,,,934.3,2008,2021-04-11,5.86,4.8,4.27,3.03,3.7,56.9,-0.13,1.7,5.2,K0IV,,4978,,
61 Cyg b,Candidate,,,,,2021-12-20,,,,,,3.5,,,,,,,,
61 Vir b,Confirmed,,,4.215,2009,2009-12-14,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
61 Vir c,Confirmed,,,38.021,2009,2009-12-14,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
61 Vir d,Confirmed,,,123.01,2009,2009-12-14,4.74,,,,,8.52,-0.01,0.95,0.94,G5V,8.96,5531,Imaging,
7 CMA c,Confirmed,,,988.9,2019,2019-10-15,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792,,
7 CMa b,Confirmed,,,736.9,2011,2019-10-15,3.96,,,,,19.75,0.21,1.52,2.3,K1 III,,4792,,
70 Vir b,Confirmed,,,116.67,1996,2010-12-28,5,,,,,22,-0.11,0.92,1.968,G4 V,7.09,5432,IR Excess,
75 Cet b,Confirmed,,,691.9,2012,2012-09-03,5.36,,,,,81.5,0,2.49,10.5,G3III,,4846,,
8 Umi b,Confirmed,,,93.4,2015,2015-10-01,6.83,,,,,159.1,-0.03,1.8,9.9,K0,1.7,4847.4,,
81 Cet b,Confirmed,,,952.7,2008,2014-08-27,5.65,,3.94,3.38,3.27,97.2,-0.06,2.4,11,G5III,,,,
91 Aqr b,Confirmed,,,181.4,2003,2015-08-21,4.21,,,,,45.9,-0.03,1.4,11,K0 III,3.56,4665,,
AB Aur b,Confirmed,9,,,2008,2022-04-04,7.06,,,,,144,,2.4,,A0V,0.002,,,
AB Dor C b,Confirmed,13,,,2019,2019-11-14,,,,,,15.8,,0.072,,M8,,,,
AB Pic b,Confirmed,13.5,1.75,,2005,2022-11-04,9.16,,,,,47.3,0.04,,,K2 V,0.03,5285,,
AB Pic c,Candidate,6,,,2022,2022-11-04,9.16,,,,,47.3,0.04,,,K2 V,0.03,5285,,
AD 3116 b,Confirmed,54.2,1.02,1.982796,2017,2019-04-03,,,14.348,13.769,,186.54,,0.276,0.29,M3.9,,3200,,
AD Leo b,Controversial,,,2.2246,2019,2020-02-26,9.5,,,,,4.966,,,,M4V,,,,
AE Fornacis (AB) b,Candidate,,,2524.6,2012,2018-12-21,10.2,8.55,7.52,6.85,6.66,32.2262,,0.5,0.6,K7V+K7V,,4100,,
AS 205 A b,Confirmed,,,24.84,2017,2017-06-08,12.4,,,,,140,0,0.9,3.7,K5,,4300,,
AS 209 b,Candidate,1.3,,,2022,2022-08-10,11.3,,,,,12.124,,,,K4V,,,,
ASASSN-16kr b,Confirmed,42,1.05,0.061285932,2021,2021-08-16,19,,,,,160.5,,0.952,0.0083,,,,,
ASASSN-17jf b,Confirmed,60,1.12,0.0567904,2021,2021-08-16,20,,,,,286,,0.669,0.012,,,,,
AU Mic b,Confirmed,0.0368,0.3908,8.463,2020,2022-03-04,8.6,,,,,9.79,,0.5,0.75,M1V,0.022,3700,,
AU Mic c,Confirmed,0.0698,0.3131,18.859019,2020,2022-03-04,8.6,,,,,9.79,,0.5,0.75,M1V,0.022,3700,,
AU Mic d,Candidate,,,12.9211,2022,2022-02-14,8.6,,,,,9.79,,0.5,0.75,M1V,0.022,3700,,
Aldebaran b,Controversial,,,614.1,1998,2019-03-25,0.85,,,,,20.43,-0.27,1.13,45.1,K5III,6.6,4055,,
Aledebaran c,Controversial,,,772.83,2019,2019-03-25,0.85,,,,,20.43,-0.27,1.13,45.1,K5III,6.6,4055,,
Anon-1 b,Candidate,0.3,,1.3381,,2021-09-01,,,,,,,,,,G0,,,,
BD+03 2562 b,Confirmed,,,481.9,2017,2017-06-30,9.58,,,,,2618,-0.71,1.14,32.35,,5.25,4095,,
BD+14 4559 b,Confirmed,,,268.94,2009,2016-02-23,9.63,,,,,50,0.1,0.86,,K2V,,5008,,
BD+15 2375 b,Confirmed,,,153.22,2016,2016-03-21,10.3,,,,,774,-0.22,1.08,8.95,,7.4,4649,,
BD+15 2940 b,Confirmed,,,137.48,2013,2013-04-30,9.19,,,,,585,0.28,1.1,14.7,K0,7.1,4796,,
BD+20 1790 b,Retracted,,,7.78287,2009,2019-05-17,9.93,,,,,25.4,0.3,0.63,0.71,K5V,0.057,4410,,Yes
BD+20 2457 b,Confirmed,,,379.63,2009,2016-02-23,9.75,,,,,1670,-1,2.8,,K2II,,4127,,
BD+20 2457 c,Confirmed,,,621.99,2009,2016-02-23,9.75,,,,,1670,-1,2.8,,K2II,,4127,,
BD+20 274 b,Confirmed,,,578.2,2010,2021-04-11,9.36,,,,,,-0.46,0.8,17.3,K5,,4296,,
BD+20 594 b,Confirmed,0.07,0.23,41.6855,2016,2021-02-05,11,,9.77,9.432,,180.39,-0.15,1.67,1.08,G,3.34,5766,,
BD+24 4697 b,Confirmed,,,145.081,2016,2018-12-21,9.74,,,,,44.7922,-0.11,0.75,,K2V,,5077,,
BD+26 1888 b,Confirmed,,,536.78,2016,2016-02-10,9.76,,,,,38,0.02,0.76,,K7,,4748,,
BD+45 564 b,Confirmed,,,307.88,2021,2021-05-21,9.5,,,,,53.7,,,,K1,,,,
BD+48 738 b,Confirmed,,,392.6,2011,2019-06-13,9.14,,,,,,-0.2,0.74,11,K0III,,4414,,
BD+48 740 b,Confirmed,,,733,2012,2020-03-08,8.7,,,,,678.933,-0.13,1.09,10.33,K3 III,,4534,,
BD+49 828 b,Confirmed,,,2590,2015,2015-07-26,9.38,,,,,,-0.19,1.52,7.6,KO,2.3,4943,,
BD+55 362 b,Confirmed,,,265.59,2021,2021-05-21,9.2,,,,,52.65,,,,K3,,,,
BD+60 1417 b,Confirmed,15,1.31,,2021,2021-12-10,,,,,,44.957,,1,0.797,,0.1,4993,,
BD+63 1405 b,Confirmed,,,1198.48,2021,2021-05-21,9,,,,,38.09,,,,K0,,,,
BD-00 4475 b,Confirmed,,,723.2,2021,2021-05-21,9,,,,,42.69,,,,G0,,,,
BD-06 1339 b,Controversial,,,3.8728,2013,2022-03-15,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-06 1339 c,Confirmed,,,125.94,2013,2021-04-11,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-06 1339 d,Confirmed,,,487,2014,2021-04-11,6.69,,,,,20,-0.14,0.7,,K7V/M0V,4.4,4324,,
BD-08 2823 b,Confirmed,,,5.6,2009,2019-06-13,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746,,
BD-08 2823 c,Confirmed,,,237.6,2009,2019-06-13,9.86,,,,,42.2,-0.07,0.74,,K3V,4.5,4746,,
BD-10 3166 b,Confirmed,,1.03,3.4878,2000,2015-02-24,10.08,,,,,66,0.5,0.99,1.71,G4 V,4.18,5400,,
BD-11 4672 b,Confirmed,,,1634,2010,2020-06-26,10.02,,,,,27.3,-0.48,0.571,0.52,K7V,4.4,4475,,
BD-11 4672 c,Confirmed,,,74.2,2020,2020-06-26,10.02,,,,,27.3,-0.48,0.571,0.52,K7V,4.4,4475,,
BD-17 63 b,Confirmed,,,655.6,2008,2014-08-27,9.62,,,,,34.6,-0.03,0.74,0.69,K5V,4.3,4714,,
BF Pav (AB) b,Candidate,,,18.3,2020,2021-05-24,12.2,,,,,268,,1.54,,,,5300,,
BLG-1691L b,Confirmed,0.046,,,2022,2022-05-26,,,,,,7290,,0.45,,,,,,
BOKS-45069 b,Retracted,,1.43,18.6929,2010,2021-09-27,,,,,,800,-0.51,0.79,0.72,K0V,,4967,,
BP Psc b,Candidate,30,,,2022,2022-10-25,12,,,,,135,,1.3,,O9III,0.007,,,
Barnard's star b,Controversial,,,232.8,2018,2022-07-29,9.5,,,,,1.8,,0.163,0.178,M4V,8.5,3278,,
C/2022 L2 (ATLAS),Candidate,,,,2022,2022-06-28,,,,,,,,1,1,,,,,
CD Cet b,Confirmed,0.01244,,2.2907,2020,2020-06-06,12,,,,,8.609,0.13,0.161,0.175,M5.0,3,3130,,
CD-35 2722 b,Confirmed,31,,,2011,2011-02-22,10.98,,,,,21.3,0.04,0.4,,M1V,0.1,3680,,
CFBD 1458 B,Confirmed,10.5,,,2011,2021-08-20,,,,,,23.1,,,,,,,,
CFBDS 1458 A,Confirmed,24.1,,,2010,2018-09-16,,,,,,23.1,,,,,,,,
CFBDS0059,Confirmed,22.5,,,2008,2018-09-16,,,,,,13,,,,,,,,
CFBDSIR J2149-0403 b,Confirmed,21,,,2017,2018-08-25,,,,,,55.2,,,,T7,,,,
CHXR 73 b,Confirmed,12,,,2006,2014-05-25,,,,11.32,,,,0.35,,M3.25,0.002,,,
CI Tau b,Confirmed,11.6,,8.9891,2016,2019-06-12,13,,,,,158,,0.9,,K4IV,0.002,,Imaging,Yes
CIDA 1 b,Candidate,1.7,,,2022,2022-05-23,15,,,,,137.5,,0.2,,M4.5,,,,
CM Dra b,Candidate,,,6760,2008,2022-05-11,,,,,,,,,,M5V - binary,,,,
COCONUTS-2 b,Confirmed,6.4,1.12,,2021,2021-07-08,11.3,,,,,10.89,0,0.37,0.388,M3,0.475,3406,,
COCONUTS-3 b,Confirmed,39,1.03,,2022,2022-07-09,15,,,,,30.88,,,,M5.5,0.5,2966,,
CPD-64 481 b,Candidate,,,0.27726315,2014,2018-12-17,,,,,,,,0.47,,sdB,,27500,,
CS Cha b,Controversial,20,,,2019,2020-07-16,11.7,,,,,149,,,,K2V,,,Imaging,
CSS1603+19 b,Candidate,64.4,,,2022,2022-11-29,,,,,,,,,,,,,,
CT Cha b,Confirmed,17,2.2,,2008,2008-09-23,12.36,,,,,165,,,,K7,0.002,,,
CVSO 30 c,Controversial,4.7,1.63,,2016,2017-12-27,16.26,,,,,330,,0.39,0.45,M3 PMS,0.00265,3740,,
CWISE 0146-0508A b,Confirmed,66,,,2022,2022-02-07,,,,,,41,,0.072,,L4,5,1720,,
CWISE J2035-4936,Candidate,,,,2021,2021-02-08,19.2,,,,,81.5,,,,M4.5,,,,
CWISEP J144606.62-231717.8,Confirmed,11,,,2019,2020-10-15,,,,,,10.1,,,,,,,,
CWISEP J1935-1546,Confirmed,11,,,2019,2020-03-04,,,,,,10.1,,,,,,,,
Cha Ha 8 b,Confirmed,,,1895,2007,2019-01-14,20.1,,,,,196.76,,0.085,,M6.5,0.003,2967,,
Chang 134 b,Confirmed,,,82,2022,2022-09-07,12.2,,,,,1090,,1.38,,,,7200,,
CoRoT-1 b,Confirmed,1.03,1.49,1.50896848,2007,2021-12-21,13.6,,,,,460,0.06,0.95,1.11,G0V,,6298,,
CoRoT-10 b,Confirmed,2.75,0.97,13.2406,2010,2014-08-29,15.22,,,,,345,0.26,0.89,0.79,K1V,3,5075,,
CoRoT-102636650 b,Candidate,3,,8.1,2007,2019-06-17,15.16,,,,,,,0.9,,KOV,,,,
CoRoT-102638570 b,Candidate,2.1,,6.5,2007,2019-06-17,12.27,,,,,,,2.2,,K4III,,,,
CoRoT-102638956 b,Candidate,1,,9.4,2007,2019-06-17,13.52,,,,,,,1,,G2V,,,,
CoRoT-102664207 b,Candidate,9.4,,11.2,2007,2019-06-17,15.5,,,,,,,1.2,,F6V,,,,
CoRoT-102666192 b,Candidate,3.4,,4.5,2007,2019-06-17,14.62,,,,,,,1.3,,G2V,,,,
CoRoT-102706026 b,Candidate,8.7,,18,2007,2019-06-17,14.5,,,,,,,1.2,,F8V,,,,
CoRoT-102706986 b,Candidate,10.2,,11.2,2007,2019-06-17,14.04,,,,,,,1.2,,G2V,,,,
CoRoT-102719528 b,Candidate,4,,10.5,2007,2019-06-17,15.9,,,,,,,1.6,,G0III,,,,
CoRoT-102747456 b,Candidate,1.8,,5.8,2007,2019-06-17,11.9,,,,,,,2.2,,K4III,,,,
CoRoT-11 b,Confirmed,2.33,1.43,2.994325,2010,2014-08-17,12.94,,,,,560,0.04,1.27,1.36,F6V,2,6343,,
CoRoT-12 b,Confirmed,0.917,1.44,2.8280517,2010,2021-12-21,15.52,,,,,1150,0.16,1.078,1.116,G2V,6.3,5675,,
CoRoT-13 b,Confirmed,1.308,0.885,4.0350906,2010,2021-12-21,15.04,,,,,1310,0.01,1.09,1.01,G0V,1.64,5945,,
CoRoT-14 b,Confirmed,7.6,1.09,1.51214,2010,2014-01-24,16.03,,,,,1340,0.05,1.13,1.21,F9V,4.2,6035,,
CoRoT-15 b,Confirmed,63.4,1.12,3.06036,2010,2015-09-23,,,,,,,,,,F7V,,,,
CoRoT-16 b,Confirmed,0.535,1.17,5.35227,2010,2014-01-24,15.64,,,,,840,0.19,1.098,1.19,G5V,6.73,5650,,
CoRoT-17 b,Confirmed,2.43,1.02,3.768125,2010,2014-01-24,15.46,,,,,920,0,1.04,1.59,G2V,10.7,5740,,
CoRoT-18 b,Confirmed,3.47,1.31,1.90009057,2011,2021-12-21,14.99,,,,,870,-0.1,0.95,1,G9V,,5440,,
CoRoT-19 b,Confirmed,1.11,1.29,3.8971372,2011,2021-12-21,14.78,,,,,800,-0.02,1.21,1.65,F9V,5,6090,,
CoRoT-2 b,Confirmed,3.31,1.465,1.7429964,2007,2014-01-25,12.57,,,,,300,-0.04,0.97,0.902,G7V,,5575,,
CoRoT-20 b,Confirmed,4.24,0.84,9.2431839,2011,2021-12-21,14.66,,,,,1230,0.14,1.14,0.92,G2V,0.1,5880,,
CoRoT-20 c,Confirmed,,,1675,2018,2021-10-19,14.66,,,,,1230,0.14,1.14,0.92,G2V,0.1,5880,,
CoRoT-21 b,Confirmed,2.26,1.3,2.72474,2011,2014-01-24,16,,,,,,0,1.29,1.945,F8IV,4.1,6200,,
CoRoT-22 b,Confirmed,0.06,0.4354,9.75598,2011,2018-11-20,11.93,,,,,592,0.17,1.099,1.136,G0IV,3.3,5939,,
CoRoT-23 b,Confirmed,2.8,1.08,3.6314,2011,2014-01-25,15.63,,,,,600,0.05,1.14,1.61,G0V,7.2,5900,,
CoRoT-24 b,Confirmed,0.018,0.33,5.1134,2011,2019-06-13,,14.3,,,,600,0.3,0.91,0.86,K1V,11,4950,,
CoRoT-24 c,Confirmed,0.088,0.44,11.759,2011,2019-06-13,,14.3,,,,600,0.3,0.91,0.86,K1V,11,4950,,
CoRoT-25 b,Confirmed,0.27,1.08,4.86069,2012,2014-05-21,15,,,,,1000,-0.01,1.09,1.19,G0V,5.2,6040,,
CoRoT-26 b,Confirmed,0.52,1.26,4.20474,2012,2014-05-27,15.76,,,,,1670,0.01,1.09,1.79,G8IV,8.6,5590,,
CoRoT-27 b,Confirmed,10.39,1.007,3.57532,2012,2014-07-10,15.54,,,,,,0.1,1.05,1.08,G2,4.21,5900,,
CoRoT-28 b,Confirmed,,0.955,5.20851,2012,2015-08-17,13.49,,,,,560,0.15,1.01,1.78,G8/9IV,12,5150,,
CoRoT-29 b,Confirmed,0.85,0.9,2.85057,2012,2015-04-27,15.35,,,,,765,0.2,0.976,0.9,KOV,4.5,5260,,
CoRoT-3 b,Confirmed,21.66,1.19,4.2567994,2008,2018-08-15,13.3,,,,,680,0.14,1.41,1.44,F3V,2,6558,,
CoRoT-30 b,Confirmed,2.9,1.009,9.06005,2017,2019-09-02,15.65,,,,,960,0.02,0.98,0.91,G3V,3,5660,,
CoRoT-31 b,Confirmed,0.84,1.46,4.62941,2017,2019-09-02,15.7,,,,,2190,0,1.25,2.15,G2IV,4.7,5370,,
CoRoT-32 b,Confirmed,0.15,0.57,6.71837,2017,2017-09-13,14,,,,,,0,1.09,0.79,G0VI,,5970,,
CoRoT-33 b,Confirmed,59.2,1.1,5.819143,2015,2015-08-25,14.7,,,,,,0.44,0.86,0.94,G9V,4.6,5225,,
CoRoT-35 b,Confirmed,1.1,1.68,3.22748,2022,2022-07-19,15.7,,,,,1140,-0.5,1.01,1.65,F3V,6.1,6390,,
CoRoT-36 b,Confirmed,0.68,1.41,5.616531,2022,2022-07-19,13.1,,,,,954,-0.1,1.32,1.52,,2.1,6730,,
CoRoT-4 b,Confirmed,0.72,1.19,9.20166201,2008,2021-12-21,13.7,,,,,,0.05,1.1,1.15,F8V,1,6190,,
CoRoT-5 b,Confirmed,0.467,1.33,4.0379148,2008,2021-12-21,14,,,,,400,-0.25,1,1.186,F9V,6.9,6100,,
CoRoT-6 b,Confirmed,2.96,1.166,8.886593,2009,2013-06-05,13.9,,,,,,-0.2,1.055,1.025,F9V,,6090,,
CoRoT-7 b,Confirmed,0.041812,0.136,0.8535,2009,2022-09-29,11.7,,,,,150,0.03,0.93,0.87,K0V,1.5,5313,,
